IdSocio,NumeroMembresia,Nombres,Apellidos,Correo,Telefono,FechaNacimiento,Genero,FechaIngreso,Estado
1,S00001,Robert,Turner,robert.turner1@mail.com,7321-9126,1997-01-18,M,2023-09-07 01:23:40.499639,0
2,S00002,Benjamin,Lowe,benjamin.lowe2@mail.com,7418-6048,1985-05-19,F,2024-11-13 01:23:40.499885,0
3,S00003,Chelsea,King,chelsea.king3@mail.com,7315-8826,1987-04-20,M,2025-08-17 01:23:40.500121,1
4,S00004,Lisa,Scott,lisa.scott4@mail.com,7805-7311,1986-04-04,F,2024-10-01 01:23:40.500348,1
5,S00005,Michael,Smith,michael.smith5@mail.com,7813-6814,1991-01-29,M,2021-11-16 01:23:40.500547,1
6,S00006,Samuel,Miller,samuel.miller6@mail.com,7798-7262,1972-11-04,M,2024-07-20 01:23:40.500740,1
7,S00007,Jessica,York,jessica.york7@mail.com,7996-3112,2000-04-04,F,2023-06-19 01:23:40.500929,1
8,S00008,Justin,Smith,justin.smith8@mail.com,7603-4725,1985-02-07,F,2023-10-13 01:23:40.501127,1
9,S00009,Sarah,Alvarado,sarah.alvarado9@mail.com,7374-7847,1987-07-02,F,2023-07-31 01:23:40.501320,0
10,S00010,Joseph,Thomas,joseph.thomas10@mail.com,7706-2472,2006-12-20,F,2022-05-18 01:23:40.501509,1
11,S00011,Brett,Richardson,brett.richardson11@mail.com,7134-9578,1960-05-28,F,2024-07-07 01:23:40.501713,1
12,S00012,Tony,Browning,tony.browning12@mail.com,7412-1068,1990-06-09,M,2023-04-30 01:23:40.501895,0
13,S00013,Krista,Taylor,krista.taylor13@mail.com,7646-7267,1973-12-08,F,2022-04-29 01:23:40.502207,0
14,S00014,Brittany,Barron,brittany.barron14@mail.com,7526-9433,1986-02-10,M,2025-08-14 01:23:40.502432,0
15,S00015,Joseph,Parker,joseph.parker15@mail.com,7688-6328,1998-02-14,F,2024-06-29 01:23:40.502615,1
16,S00016,Michael,Moon,michael.moon16@mail.com,7967-8984,1999-05-03,M,2023-11-28 01:23:40.502794,0
17,S00017,Parker,Conner,parker.conner17@mail.com,7181-6631,1994-02-06,M,2021-10-13 01:23:40.502985,0
18,S00018,Heather,Brown,heather.brown18@mail.com,7781-9028,2007-04-28,M,2021-10-30 01:23:40.503175,0
19,S00019,Charles,Francis,charles.francis19@mail.com,7417-5050,1977-04-11,M,2025-01-14 01:23:40.503355,1
20,S00020,Tiffany,Vazquez,tiffany.vazquez20@mail.com,7135-6142,1966-03-22,M,2025-06-21 01:23:40.503534,1
21,S00021,Holly,Vasquez,holly.vasquez21@mail.com,7275-7019,1965-03-01,M,2023-02-14 01:23:40.503713,1
22,S00022,Alicia,Le,alicia.le22@mail.com,7167-4866,2006-12-22,F,2022-09-22 01:23:40.503893,1
23,S00023,Amanda,Silva,amanda.silva23@mail.com,7395-6747,2005-01-23,M,2024-12-12 01:23:40.504070,0
24,S00024,Jennifer,Holt,jennifer.holt24@mail.com,7316-5098,2002-05-14,M,2023-03-13 01:23:40.504295,1
25,S00025,Samuel,Russell,samuel.russell25@mail.com,7479-7448,1998-07-01,F,2024-09-03 01:23:40.504620,1
26,S00026,Lori,Rice,lori.rice26@mail.com,7493-4825,1961-01-23,M,2024-08-23 01:23:40.504954,0
27,S00027,William,Johnson,william.johnson27@mail.com,7936-8967,1980-06-29,M,2024-07-08 01:23:40.505319,1
28,S00028,Mark,Rodriguez,mark.rodriguez28@mail.com,7120-9885,1995-08-19,F,2024-12-08 01:23:40.505667,0
29,S00029,Stacey,Massey,stacey.massey29@mail.com,7444-3572,1975-03-08,F,2024-06-01 01:23:40.506034,1
30,S00030,Cameron,Gilbert,cameron.gilbert30@mail.com,7041-5101,1984-10-14,M,2025-08-10 01:23:40.506391,0
31,S00031,John,Rogers,john.rogers31@mail.com,7916-9209,1970-08-27,F,2022-02-05 01:23:40.506741,0
32,S00032,Lauren,Vasquez,lauren.vasquez32@mail.com,7927-7033,1963-02-26,M,2024-10-16 01:23:40.507141,0
33,S00033,Dennis,Johnson,dennis.johnson33@mail.com,7051-6477,1982-03-10,F,2024-12-30 01:23:40.507525,0
34,S00034,Elijah,Franklin,elijah.franklin34@mail.com,7703-2812,2002-09-26,M,2024-02-28 01:23:40.507870,1
35,S00035,Garrett,Brown,garrett.brown35@mail.com,7620-4783,1985-02-26,F,2022-03-09 01:23:40.508061,1
36,S00036,Brent,Patterson,brent.patterson36@mail.com,7385-6386,1977-03-13,F,2025-10-17 01:23:40.508242,1
37,S00037,Rachel,Perez,rachel.perez37@mail.com,7211-5552,1963-09-03,M,2024-01-05 01:23:40.508424,1
38,S00038,Wendy,Horton,wendy.horton38@mail.com,7982-8053,1992-01-27,M,2025-01-22 01:23:40.508605,1
39,S00039,Debbie,Thompson,debbie.thompson39@mail.com,7010-4159,2005-09-11,M,2022-06-09 01:23:40.508783,1
40,S00040,George,Berry,george.berry40@mail.com,7330-3056,1984-06-05,M,2024-04-10 01:23:40.508961,1
41,S00041,Mary,Ramos,mary.ramos41@mail.com,7579-1073,1986-11-19,M,2025-01-06 01:23:40.509138,1
